comparison,ref,query,variable,value
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,base_level_Pr,19.8
geneid_RS_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,base_level_Pr,41.4
geneid_S_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,base_level_Pr,39.1
geneid_S_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,base_level_Pr,89.0
geneid_S_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,base_level_Pr,90.8
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,base_level_Pr,19.1
geneid_RS_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,base_level_Pr,97.3
geneid_RS_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,base_level_Pr,88.4
geneid_R_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,base_level_Pr,39.8
geneid_R_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,base_level_Pr,90.7
geneid_R_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,base_level_Pr,89.5
geneid_simple_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,base_level_Pr,39.0
geneid_R_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,base_level_Pr,99.2
geneid_simple_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,base_level_Pr,87.8
geneid_RS_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,base_level_Pr,90.2
geneid_simple_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,base_level_Pr,95.3
geneid_simple_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,base_level_Pr,89.0
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,exon_level_Se,23.6
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,exon_level_Se,26.4
geneid_S_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,exon_level_Se,97.9
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,exon_level_Se,27.3
geneid_RS_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,exon_level_Se,15.4
geneid_S_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,exon_level_Se,13.9
geneid_S_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,exon_level_Se,88.2
geneid_S_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,exon_level_Se,85.6
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,exon_level_Se,23.6
geneid_RS_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,exon_level_Se,93.8
geneid_RS_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,exon_level_Se,83.6
geneid_R_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,exon_level_Se,14.2
geneid_R_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,exon_level_Se,80.9
geneid_R_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,exon_level_Se,79.9
geneid_simple_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,exon_level_Se,14.1
geneid_R_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,exon_level_Se,90.2
geneid_simple_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,exon_level_Se,85.4
geneid_RS_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,exon_level_Se,81.0
geneid_simple_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,exon_level_Se,99.5
geneid_simple_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,exon_level_Se,86.5
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,exon_level_Pr,13.9
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,exon_level_Pr,14.2
geneid_S_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,exon_level_Pr,93.8
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,exon_level_Pr,15.4
geneid_RS_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,exon_level_Pr,27.3
geneid_S_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,exon_level_Pr,23.6
geneid_S_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,exon_level_Pr,80.9
geneid_S_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,exon_level_Pr,86.5
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,exon_level_Pr,14.1
geneid_RS_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,exon_level_Pr,97.9
geneid_RS_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,exon_level_Pr,79.9
geneid_R_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,exon_level_Pr,26.4
geneid_R_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,exon_level_Pr,88.2
geneid_R_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,exon_level_Pr,83.6
geneid_simple_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,exon_level_Pr,23.6
geneid_R_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,exon_level_Pr,99.5
geneid_simple_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,exon_level_Pr,81.0
geneid_RS_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,exon_level_Pr,85.4
geneid_simple_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,exon_level_Pr,90.2
geneid_simple_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,exon_level_Pr,85.6
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,intron_level_Se,7.9
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,intron_level_Se,13.2
geneid_S_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,intron_level_Se,97.9
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,intron_level_Se,13.2
geneid_RS_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,intron_level_Se,9.6
geneid_S_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,intron_level_Se,6.4
geneid_S_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,intron_level_Se,83.0
geneid_S_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,intron_level_Se,78.7
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,intron_level_Se,7.9
geneid_RS_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,intron_level_Se,88.5
geneid_RS_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,intron_level_Se,75.0
geneid_R_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,intron_level_Se,8.5
geneid_R_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,intron_level_Se,66.1
geneid_R_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,intron_level_Se,66.1
geneid_simple_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,intron_level_Se,6.2
geneid_R_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,intron_level_Se,81.4
geneid_simple_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,intron_level_Se,77.1
geneid_RS_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,intron_level_Se,71.2
geneid_simple_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,intron_level_Se,100.0
geneid_simple_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,intron_level_Se,77.1
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,intron_level_Pr,6.4
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,intron_level_Pr,8.5
geneid_S_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,intron_level_Pr,88.5
