comparison,ref,query,variable,value
geneid_S_VS_geneid_R,geneid_S,geneid_R,exon_level_Se,89.9
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,exon_level_Se,97.6
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,exon_level_Se,97.5
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,exon_level_Se,41.8
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,exon_level_Se,88.3
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,exon_level_Se,98.2
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,exon_level_Se,57.8
geneid_R_VS_geneid_S,geneid_R,geneid_S,exon_level_Se,90.9
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,exon_level_Se,56.6
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,exon_level_Se,89.0
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,exon_level_Se,55.6
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,exon_level_Se,89.9
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,exon_level_Se,90.6
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,exon_level_Se,91.0
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,exon_level_Se,91.2
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,exon_level_Se,40.7
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,exon_level_Se,96.9
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,exon_level_Pr,53.6
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,exon_level_Pr,56.6
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,exon_level_Pr,39.7
geneid_S_VS_geneid_R,geneid_S,geneid_R,exon_level_Pr,90.9
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,exon_level_Pr,97.5
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,exon_level_Pr,97.6
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,exon_level_Pr,57.8
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,exon_level_Pr,90.6
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,exon_level_Pr,96.9
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,exon_level_Pr,41.8
geneid_R_VS_geneid_S,geneid_R,geneid_S,exon_level_Pr,89.9
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,exon_level_Pr,41.0
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,exon_level_Pr,91.2
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,exon_level_Pr,40.7
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,exon_level_Pr,91.0
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,exon_level_Pr,88.3
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,exon_level_Pr,89.9
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,exon_level_Pr,89.0
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,exon_level_Pr,55.5
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,exon_level_Pr,98.2
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,intron_level_Se,45.0
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,intron_level_Se,47.1
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,intron_level_Se,58.3
geneid_S_VS_geneid_R,geneid_S,geneid_R,intron_level_Se,95.1
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,intron_level_Se,98.4
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,intron_level_Se,98.0
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,intron_level_Se,48.1
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,intron_level_Se,92.2
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,intron_level_Se,97.4
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,intron_level_Se,63.1
geneid_R_VS_geneid_S,geneid_R,geneid_S,intron_level_Se,94.7
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,intron_level_Se,61.7
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,intron_level_Se,93.3
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,intron_level_Se,62.0
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,intron_level_Se,95.3
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,intron_level_Se,93.4
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,intron_level_Se,95.3
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,intron_level_Se,94.2
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,intron_level_Se,47.2
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,intron_level_Se,96.1
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,intron_level_Pr,58.3
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,intron_level_Pr,61.7
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,intron_level_Pr,45.0
geneid_S_VS_geneid_R,geneid_S,geneid_R,intron_level_Pr,94.7
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,intron_level_Pr,98.0
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,intron_level_Pr,98.4
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,intron_level_Pr,63.1
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,intron_level_Pr,93.4
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,intron_level_Pr,96.1
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,intron_level_Pr,48.1
geneid_R_VS_geneid_S,geneid_R,geneid_S,intron_level_Pr,95.1
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,intron_level_Pr,47.1
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,intron_level_Pr,94.2
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,intron_level_Pr,47.2
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,intron_level_Pr,95.3
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,intron_level_Pr,92.2
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,intron_level_Pr,95.3
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,intron_level_Pr,93.3
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,intron_level_Pr,62.0
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,intron_level_Pr,97.4
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,intronChain_level_Se,7.4
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,intronChain_level_Se,10.9
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,intronChain_level_Se,10.7
geneid_S_VS_geneid_R,geneid_S,geneid_R,intronChain_level_Se,81.5
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,intronChain_level_Se,94.1
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,intronChain_level_Se,93.6
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,intronChain_level_Se,12.6
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,intronChain_level_Se,76.6
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,intronChain_level_Se,91.6
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,intronChain_level_Se,19.6
geneid_R_VS_geneid_S,geneid_R,geneid_S,intronChain_level_Se,86.0
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,intronChain_level_Se,16.9
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,intronChain_level_Se,78.6
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,intronChain_level_Se,15.5
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,intronChain_level_Se,81.8
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,intronChain_level_Se,82.4
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,intronChain_level_Se,86.7
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,intronChain_level_Se,84.2
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,intronChain_level_Se,10.6
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,intronChain_level_Se,90.2
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,intronChain_level_Pr,10.7
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,intronChain_level_Pr,16.9
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,intronChain_level_Pr,7.4
geneid_S_VS_geneid_R,geneid_S,geneid_R,intronChain_level_Pr,86.0
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,intronChain_level_Pr,93.6
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,intronChain_level_Pr,94.1
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,intronChain_level_Pr,19.6
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,intronChain_level_Pr,82.4
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,intronChain_level_Pr,90.2
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,intronChain_level_Pr,12.6
geneid_R_VS_geneid_S,geneid_R,geneid_S,intronChain_level_Pr,81.5
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,intronChain_level_Pr,10.9
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,intronChain_level_Pr,84.2
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,intronChain_level_Pr,10.6
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,intronChain_level_Pr,86.7
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,intronChain_level_Pr,76.6
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,intronChain_level_Pr,81.8
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,intronChain_level_Pr,78.6
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,intronChain_level_Pr,15.5
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,intronChain_level_Pr,91.6
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,transcript_level_Se,5.7
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,transcript_level_Se,8.4
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,transcript_level_Se,8.5
geneid_S_VS_geneid_R,geneid_S,geneid_R,transcript_level_Se,63.1
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,transcript_level_Se,72.8
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,transcript_level_Se,73.1
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,transcript_level_Se,9.8
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,transcript_level_Se,59.8
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,transcript_level_Se,70.7
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,transcript_level_Se,15.6
geneid_R_VS_geneid_S,geneid_R,geneid_S,transcript_level_Se,66.5
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,transcript_level_Se,13.5
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,transcript_level_Se,60.8
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,transcript_level_Se,12.4
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,transcript_level_Se,63.9
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,transcript_level_Se,63.6
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,transcript_level_Se,67.1
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,transcript_level_Se,65.0
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,transcript_level_Se,8.2
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,transcript_level_Se,69.8
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,transcript_level_Pr,8.5
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,transcript_level_Pr,13.5
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,transcript_level_Pr,5.7
geneid_S_VS_geneid_R,geneid_S,geneid_R,transcript_level_Pr,66.5
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,transcript_level_Pr,73.1
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,transcript_level_Pr,72.8
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,transcript_level_Pr,15.6
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,transcript_level_Pr,63.6
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,transcript_level_Pr,69.8
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,transcript_level_Pr,9.8
geneid_R_VS_geneid_S,geneid_R,geneid_S,transcript_level_Pr,63.1
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,transcript_level_Pr,8.4
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,transcript_level_Pr,65.0
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,transcript_level_Pr,8.2
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,transcript_level_Pr,67.1
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,transcript_level_Pr,59.8
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,transcript_level_Pr,63.9
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,transcript_level_Pr,60.8
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,transcript_level_Pr,12.4
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,transcript_level_Pr,70.7
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,locus_level_Se,5.7
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,locus_level_Se,8.4
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,locus_level_Se,9.6
geneid_S_VS_geneid_R,geneid_S,geneid_R,locus_level_Se,63.3
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,locus_level_Se,72.9
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,locus_level_Se,73.1
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,locus_level_Se,9.8
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,locus_level_Se,60.0
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,locus_level_Se,70.7
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,locus_level_Se,17.5
geneid_R_VS_geneid_S,geneid_R,geneid_S,locus_level_Se,66.5
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,locus_level_Se,15.1
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,locus_level_Se,61.0
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,locus_level_Se,13.9
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,locus_level_Se,64.0
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,locus_level_Se,63.6
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,locus_level_Se,67.1
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,locus_level_Se,65.0
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,locus_level_Se,8.2
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,locus_level_Se,69.8
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,locus_level_Pr,9.6
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,locus_level_Pr,15.1
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,locus_level_Pr,5.7
geneid_S_VS_geneid_R,geneid_S,geneid_R,locus_level_Pr,66.5
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,locus_level_Pr,73.1
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,locus_level_Pr,72.9
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,locus_level_Pr,17.5
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,locus_level_Pr,63.6
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,locus_level_Pr,69.8
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,locus_level_Pr,9.8
geneid_R_VS_geneid_S,geneid_R,geneid_S,locus_level_Pr,63.3
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,locus_level_Pr,8.4
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,locus_level_Pr,65.0
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,locus_level_Pr,8.2
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,locus_level_Pr,67.1
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,locus_level_Pr,60.0
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,locus_level_Pr,64.0
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,locus_level_Pr,61.0
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,locus_level_Pr,13.9
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,locus_level_Pr,70.7
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,matching_intron_chains,71
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,matching_intron_chains,112
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,matching_intron_chains,71
geneid_S_VS_geneid_R,geneid_S,geneid_R,matching_intron_chains,839
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,matching_intron_chains,968
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,matching_intron_chains,968
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,matching_intron_chains,130
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,matching_intron_chains,792
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,matching_intron_chains,880
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,matching_intron_chains,130
geneid_R_VS_geneid_S,geneid_R,geneid_S,matching_intron_chains,839
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,matching_intron_chains,112
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,matching_intron_chains,809
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,matching_intron_chains,103
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,matching_intron_chains,846
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,matching_intron_chains,792
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,matching_intron_chains,846
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,matching_intron_chains,809
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,matching_intron_chains,103
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,matching_intron_chains,880
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,matching_transcripts,71
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,matching_transcripts,112
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,matching_transcripts,71
geneid_S_VS_geneid_R,geneid_S,geneid_R,matching_transcripts,839
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,matching_transcripts,968
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,matching_transcripts,968
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,matching_transcripts,130
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,matching_transcripts,792
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,matching_transcripts,880
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,matching_transcripts,130
geneid_R_VS_geneid_S,geneid_R,geneid_S,matching_transcripts,839
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,matching_transcripts,112
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,matching_transcripts,809
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,matching_transcripts,103
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,matching_transcripts,846
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,matching_transcripts,792
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,matching_transcripts,846
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,matching_transcripts,809
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,matching_transcripts,103
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,matching_transcripts,880
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,matching_loci,71
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,matching_loci,112
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,matching_loci,71
geneid_S_VS_geneid_R,geneid_S,geneid_R,matching_loci,839
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,matching_loci,966
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,matching_loci,966
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,matching_loci,130
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,matching_loci,792
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,matching_loci,880
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,matching_loci,130
