comparison,ref,query,variable,value
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,query_mrnas,87
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,reference_mrnas,91
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,reference_mrnas,91
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,reference_mrnas,95
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,reference_mrnas,91
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,reference_mrnas,91
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,reference_mrnas,95
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,reference_mrnas,95
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,reference_mrnas,95
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,reference_mrnas,94
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,reference_mrnas,94
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,reference_mrnas,94
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,reference_mrnas,87
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,reference_mrnas,87
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,reference_mrnas,87
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,reference_mrnas,94
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,reference_mrnas,87
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,reference_mrnas,88
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,reference_mrnas,88
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,reference_mrnas,88
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,reference_mrnas,88
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,base_level_Se,98.8
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,base_level_Se,14.9
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,base_level_Se,17.6
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,base_level_Se,91.2
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,base_level_Se,91.2
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,base_level_Se,19.2
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,base_level_Se,19.2
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,base_level_Se,20.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,base_level_Se,89.5
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,base_level_Se,95.7
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,base_level_Se,16.3
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,base_level_Se,95.6
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,base_level_Se,17.0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,base_level_Se,100.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,base_level_Se,89.5
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,base_level_Se,97.0
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,base_level_Se,16.9
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,base_level_Se,96.3
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,base_level_Se,95.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,base_level_Se,99.3
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,base_level_Pr,95.7
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,base_level_Pr,17.6
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,base_level_Pr,14.9
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,base_level_Pr,95.6
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,base_level_Pr,95.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,base_level_Pr,17.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,base_level_Pr,16.9
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,base_level_Pr,16.3
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,base_level_Pr,96.3
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,base_level_Pr,98.8
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,base_level_Pr,20.0
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,base_level_Pr,91.2
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,base_level_Pr,19.2
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,base_level_Pr,99.3
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,base_level_Pr,97.0
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,base_level_Pr,89.5
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,base_level_Pr,19.2
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,base_level_Pr,89.5
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,base_level_Pr,91.2
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,base_level_Pr,100.0
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,exon_level_Se,99.0
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,exon_level_Se,12.2
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,exon_level_Se,11.9
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,exon_level_Se,89.8
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,exon_level_Se,89.8
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,exon_level_Se,12.9
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,exon_level_Se,12.9
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,exon_level_Se,12.9
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,exon_level_Se,87.3
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,exon_level_Se,95.1
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,exon_level_Se,12.7
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,exon_level_Se,94.6
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,exon_level_Se,14.0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,exon_level_Se,100.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,exon_level_Se,87.3
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,exon_level_Se,95.7
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,exon_level_Se,13.8
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,exon_level_Se,94.7
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,exon_level_Se,93.6
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,exon_level_Se,98.9
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,exon_level_Pr,95.1
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,exon_level_Pr,11.9
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,exon_level_Pr,12.2
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,exon_level_Pr,94.6
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,exon_level_Pr,93.6
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,exon_level_Pr,14.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,exon_level_Pr,13.8
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,exon_level_Pr,12.7
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,exon_level_Pr,94.7
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,exon_level_Pr,99.0
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,exon_level_Pr,12.9
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,exon_level_Pr,89.8
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,exon_level_Pr,12.9
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,exon_level_Pr,98.9
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,exon_level_Pr,95.7
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,exon_level_Pr,87.3
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,exon_level_Pr,12.9
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,exon_level_Pr,87.3
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,exon_level_Pr,89.8
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,exon_level_Pr,100.0
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intron_level_Se,100.0
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intron_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intron_level_Se,0.0
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intron_level_Se,71.4
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intron_level_Se,71.4
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intron_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intron_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intron_level_Se,0.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intron_level_Se,62.5
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intron_level_Se,87.5
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intron_level_Se,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intron_level_Se,83.3
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intron_level_Se,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intron_level_Se,100.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intron_level_Se,62.5
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intron_level_Se,83.3
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intron_level_Se,0.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intron_level_Se,83.3
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intron_level_Se,83.3
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intron_level_Se,100.0
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intron_level_Pr,87.5
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intron_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intron_level_Pr,0.0
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intron_level_Pr,83.3
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intron_level_Pr,83.3
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intron_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intron_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intron_level_Pr,0.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intron_level_Pr,83.3
